                      Index  Time                Image Size     
                      0      121.04441           1
                      1      110.21639           1
                      2       97.71162           1
                      3      121.56153           1
                      4      101.56426           1
                      5      111.70141           1
                      6      105.68192           1
                      7      109.67725           1
                      8      105.58191           1
                      9      104.94738           1
                      10     109.82517           1
                      11     122.71433           1
                      12     113.64692           1
                      13     101.75295           1
                      14     113.73217           1
                      15     113.67121           1
                      16     102.73084           1
                      17     105.77530           1
                      18     101.47715           1
                      19     106.83236           1
                      20     104.84487           1
                      21     105.65934           1
                      22     106.20782           1
                      23     106.25062           1
                      24     101.57445           1
                      25     113.71820           1
                      26      89.68294           1
                      27     105.61699           1
                      28     115.18628           1
                      29     105.19577           1
                      30     121.87788           1
                      31     109.76675           1
                      32     117.79904           1
                      33     109.82813           1
                      34     105.64480           1
                      35     110.39033           1
                      36      97.88296           1
                      37     106.59390           1
                      38     101.57716           1
                      39     100.06272           1
                      40     117.95235           1
                      41     113.64865           1
                      42      93.63328           1
                      43      97.50035           1
                      44     105.73584           1
                      45     101.61583           1
                      46     101.75027           1
                      47      97.65557           1
                      48     102.07815           1
                      49      97.84312           1
                      50     105.76814           1
                      51      97.62234           1
                      52     106.33532           1
                      53     101.61023           1
                      54     105.64871           1
                      55     101.75970           1
                      56     113.93251           1
                      57     113.81535           1
                      58      99.32704           1
                      59     100.56780           1
                      60     101.66443           1
                      61     101.76774           1
                      62     117.74864           1
                      63     105.62619           1
                      64     106.42441           1
                      65     113.72395           1
                      66      89.77364           1
                      67     105.96217           1
                      68     101.83522           1
                      69     104.83007           1
                      70     105.64677           1
                      71     102.05044           1
                      72     113.69045           1
                      73     103.27448           1
                      74     109.70209           1
                      75      93.59709           1
                      76     105.72222           1
                      77      97.74385           1
                      78     119.50986           1
                      79     108.73090           1
                      80     101.75106           1
                      81     123.59161           1
                      82     106.19643           1
                      83     113.74567           1
                      84     109.79883           1
                      85     101.83156           1
                      86     109.55882           1
                      87     106.00898           1
                      88     113.87623           1
                      89     101.19428           1
                      90     101.77304           1
                      91     106.08411           1
                      92      97.78392           1
                      93     114.37230           1
                      94     101.67643           1
                      95     101.64441           1
                      96     105.77870           1
                      97     105.79673           1
                      98     117.67618           1
                      99     100.37738           1
                      100    123.97290          10
                      101    124.39075          10
                      102    113.68312          10
                      103    120.27346          10
                      104    120.58610          10
                      105    107.61730          10
                      106    132.17159          10
                      107    128.04253          10
                      108    123.99553          10
                      109    116.98782          10
                      110    111.65363          10
                      111    136.69241          10
                      112    123.54016          10
                      113    111.63964          10
                      114    132.05147          10
                      115    123.84674          10
                      116    139.88970          10
                      117    135.96547          10
                      118    121.00481          10
                      119    143.92878          10
                      120    140.38386          10
                      121    108.09025          10
                      122    135.94664          10
                      123    120.05749          10
                      124    124.01462          10
                      125    135.86219          10
                      126    131.98659          10
                      127    125.32429          10
                      128    137.41230          10
                      129    146.72373          10
                      130    123.80361          10
                      131    119.86159          10
                      132    135.93161          10
                      133    128.75458          10
                      134    124.48124          10
                      135    128.96290          10
                      136    125.67414          10
                      137    120.49409          10
                      138    135.37134          10
                      139    133.44583          10
                      140    111.89988          10
                      141    144.06281          10
                      142    127.75594          10
                      143    111.54028          10
                      144    132.39143          10
                      145    119.82407          10
                      146    119.92091          10
                      147    132.07253          10
                      148    128.45394          10
                      149    124.04851          10
                      150    135.97580          10
                      151    128.76050          10
                      152    120.13372          10
                      153    115.51926          10
                      154    123.89998          10
                      155    135.93319          10
                      156    143.92768          10
                      157    116.28623          10
                      158    132.32944          10
                      159    128.01634          10
                      160    143.95667          10
                      161    112.15680          10
                      162    127.96064          10
                      163    108.48453          10
                      164    120.03318          10
                      165    119.97433          10
                      166    123.94456          10
                      167    136.02752          10
                      168    136.43222          10
                      169    111.21888          10
                      170    124.18474          10
                      171    123.79243          10
                      172    131.92158          10
                      173    123.98204          10
                      174    128.40199          10
                      175    119.99702          10
                      176    116.07177          10
                      177    134.05304          10
                      178    127.39600          10
                      179    120.35894          10
                      180    132.41582          10
                      181    123.85203          10
                      182    129.25013          10
                      183    124.04225          10
                      184    120.25554          10
                      185    124.02018          10
                      186    115.48294          10
                      187    132.12357          10
                      188    128.28910          10
                      189    128.27628          10
                      190    111.82085          10
                      191    140.02823          10
                      192    128.44808          10
                      193    140.65337          10
                      194    124.01470          10
                      195    119.60143          10
                      196    131.87315          10
                      197    123.89352          10
                      198    115.79933          10
                      199    123.87432          10
                      200    151.82994          20
                      201    140.28009          20
                      202    148.59819          20
                      203    132.14421          20
                      204    152.71710          20
                      205    145.00242          20
                      206    140.91880          20
                      207    136.80392          20
                      208    133.06444          20
                      209    128.88471          20
                      210    141.30651          20
                      211    137.21727          20
                      212    133.41591          20
                      213    141.20639          20
                      214    160.79627          20
                      215    148.27518          20
                      216    141.09493          20
                      217    145.36065          20
                      218    140.88735          20
                      219    133.32549          20
                      220    148.90943          20
                      221    140.75302          20
                      222    148.72548          20
                      223    129.08975          20
                      224    144.93006          20
                      225    152.95804          20
                      226    148.81267          20
                      227    144.99958          20
                      228    133.64176          20
                      229    152.66048          20
                      230    148.88708          20
                      231    156.67303          20
                      232    145.94266          20
                      233    148.84540          20
                      234    144.60933          20
                      235    149.13334          20
                      236    145.05672          20
                      237    136.45406          20
                      238    140.88917          20
                      239    141.02980          20
                      240    160.96451          20
                      241    148.69636          20
                      242    140.39849          20
                      243    140.93955          20
                      244    144.23988          20
                      245    154.59227          20
                      246    132.88951          20
                      247    145.54830          20
                      248    148.80494          20
                      249    141.34944          20
                      250    136.86009          20
                      251    136.98736          20
                      252    149.49733          20
                      253    141.82508          20
                      254    141.09582          20
                      255    144.83136          20
                      256    148.86785          20
                      257    136.96770          20
                      258    155.15449          20
                      259    128.78807          20
                      260    145.22057          20
                      261    146.47205          20
                      262    132.65970          20
                      263    164.87780          20
                      264    161.22617          20
                      265    161.55015          20
                      266    141.65063          20
                      267    146.03584          20
                      268    137.10376          20
                      269    149.20217          20
                      270    154.22794          20
                      271    138.01681          20
                      272    141.57261          20
                      273    152.94847          20
                      274    140.82592          20
                      275    138.49343          20
                      276    164.80447          20
                      277    133.17488          20
                      278    133.43121          20
                      279    140.79856          20
                      280    136.62741          20
                      281    148.85510          20
                      282    160.82356          20
                      283    132.54458          20
                      284    141.12212          20
                      285    147.92210          20
                      286    153.08716          20
                      287    136.96010          20
                      288    140.69634          20
                      289    169.05853          20
                      290    157.34662          20
                      291    145.04133          20
                      292    150.35954          20
                      293    156.60755          20
                      294    137.24467          20
                      295    136.55193          20
                      296    160.65697          20
                      297    144.51676          20
                      298    149.19101          20
                      299    148.78217          20
                      300    179.29813          30
                      301    163.17822          30
                      302    156.06375          30
                      303    164.13109          30
                      304    164.38685          30
                      305    164.42771          30
                      306    160.52964          30
                      307    177.61418          30
                      308    164.52926          30
                      309    175.43530          30
                      310    168.24981          30
                      311    169.25621          30
                      312    163.45040          30
                      313    163.24845          30
                      314    151.80832          30
                      315    180.85183          30
                      316    164.15258          30
                      317    151.53750          30
                      318    151.73928          30
                      319    164.03229          30
                      320    155.19408          30
                      321    167.11379          30
                      322    168.42787          30
                      323    168.85807          30
                      324    159.44453          30
                      325    172.34561          30
                      326    164.35855          30
                      327    164.08591          30
                      328    164.44711          30
                      329    160.95866          30
                      330    164.27231          30
                      331    164.32206          30
                      332    172.94779          30
                      333    156.35848          30
                      334    169.25040          30
                      335    160.76465          30
                      336    167.67671          30
                      337    169.02103          30
                      338    171.24680          30
                      339    161.52665          30
                      340    162.38594          30
                      341    159.33385          30
                      342    164.01105          30
                      343    171.27681          30
                      344    174.03930          30
                      345    164.71271          30
                      346    163.94881          30
                      347    172.23510          30
                      348    168.36310          30
                      349    151.72268          30
                      350    167.12835          30
                      351    164.83679          30
                      352    161.05768          30
                      353    164.03703          30
                      354    164.84050          30
                      355    155.36683          30
                      356    176.25388          30
                      357    164.75639          30
                      358    156.11194          30
                      359    152.76924          30
                      360    163.02072          30
                      361    177.39028          30
                      362    164.78337          30
                      363    164.19540          30
                      364    166.65923          30
                      365    167.66259          30
                      366    168.27570          30
                      367    159.74618          30
                      368    168.95440          30
                      369    164.65245          30
                      370    160.00822          30
                      371    163.78566          30
                      372    151.52006          30
                      373    175.06690          30
                      374    171.55400          30
                      375    174.76900          30
                      376    164.05026          30
                      377    156.47209          30
                      378    160.02684          30
                      379    166.87576          30
                      380    168.65739          30
                      381    160.05423          30
                      382    171.49823          30
                      383    179.65936          30
                      384    160.12210          30
                      385    173.63283          30
                      386    156.20897          30
                      387    168.82230          30
                      388    148.06439          30
